10:44:04:430 [ALWAYS]	GUDE Logging Started
10:44:04:432 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:44:04:432 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:44:04:432 [ERROR]	Initialize resume cache pointer failure
10:44:04:434 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:44:04:434 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:44:08:081 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:44:08:084 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:44:08:084 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:44:08:084 [ERROR]	Initialize resume cache pointer failure
10:44:08:084 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:44:08:084 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
